id_equipo	ip_equipo	nem_equipo	grupo	tipo	consultar	activo
1	10.184.12.68	ATN910-GBM-ER1	CLARO-XT	huawei	SI	
2	10.184.12.67	ATN910-GBM-ER2	CLARO-XT	huawei	SI	
3	10.184.12.22	CHI_6504_01	CLARO-XT	cisco_ios	SI	
4	10.184.12.23	COA_6504_01	CLARO-XT	cisco_ios	SI	
5	10.184.12.1	CT1	CLARO-XT	cisco_ios	SI	
6	10.184.12.2	CT2	CLARO-XT	cisco_ios	SI	
7	10.184.12.31	CT_6504_CPD_01	CLARO-XT	cisco_ios	SI	
8	10.184.12.32	CT_6504_CPD_02	CLARO-XT	cisco_ios	SI	
9	10.184.12.19	CT_7606_INT_01	CLARO-XT		SI	
10	10.184.12.21	ESC_6504_01	CLARO-XT	cisco_ios	SI	
11	10.184.12.48	GUAAB11R-CORE	CLARO-XT	cisco_xr	SI	
12	10.184.12.49	GUAAB12R-CORE	CLARO-XT	cisco_xr	SI	
13	10.184.12.10	GUAAB1R-CORE	CLARO-XT	cisco_xr	SI	
14	10.184.12.12	GUAAB2R-CORE	CLARO-XT	cisco_xr	SI	
15	10.184.12.11	GUAAB3R-RR	CLARO-XT	cisco_ios	SI	
16	10.184.12.13	GUAAB6R-INTX	CLARO-XT		SI	
17	10.184.12.17	GUAAB7R-OPERADORES_1	CLARO-XT		SI	
18	10.184.12.18	GUAAB8R-OPERADORES_2	CLARO-XT		SI	
19	10.184.12.14	GUAZA1R-CORE	CLARO-XT		SI	
20	10.184.12.16	GUAZA2R-CORE	CLARO-XT	cisco_xr	SI	
21	10.184.12.15	GUAZA3R-RR	CLARO-XT	cisco_ios	SI	
22	10.184.12.26	MAZ_6504_01	CLARO-XT	cisco_ios	SI	
23	10.184.12.50	NX-CPDCT01	CLARO-XT	cisco_nxos	SI	
24	10.184.12.51	NX-CPDCT02	CLARO-XT	cisco_nxos	SI	
25	10.184.12.3	Petapa	CLARO-XT	cisco_ios	SI	
26	10.184.12.45	PE_CENTRALIZADO	CLARO-XT	cisco_ios	SI	
27	10.184.12.46	PE_CENTRALIZADO_ZAPOTE	CLARO-XT	cisco_ios	SI	
28	10.184.12.24	QUE_6504_01	CLARO-XT	cisco_ios	SI	
29	10.184.12.4	Reforma_Inn	CLARO-XT	cisco_ios	SI	
30	10.184.12.25	RET_6504_01_ATN	CLARO-XT	huawei	SI	
31	10.184.12.5	Salesiano	CLARO-XT	cisco_ios	SI	
32	10.184.12.52	SW_C4507R+E_Zap	CLARO-XT	cisco_ios	SI	
33	10.184.12.69	TELEPRESENCIA	CLARO-XT	huawei	SI	
34	10.184.12.6	Tikal	CLARO-XT	cisco_ios	SI	
35	10.184.12.7	Torre_Cafe	CLARO-XT	cisco_ios	SI	
36	10.184.12.8	Unicentro	CLARO-XT	cisco_ios	SI	
37	10.184.12.9	Zapote	CLARO-XT	cisco_ios	SI	
38	10.184.12.27	ZAP_12006_01	CLARO-XT	cisco_ios	SI	
39	10.184.12.29	ZAP_6506_01	CLARO-XT	cisco_ios	SI	
40	10.184.12.30	ZAP_6506_02	CLARO-XT	cisco_ios	SI	
41	10.184.12.20	ZAP_7609_INT_01	CLARO-XT	cisco_ios	SI	
42	10.192.9.104	HHERCRMPN1C1FFC3	CR_CORE		SI	
43	10.179.0.128	HHERCRMPN1W1N01T02YNC1	CR_CORE	huawei	SI	
44	10.192.9.29	SDESCRMPN1C1FFC1	CR_CORE		SI	
45	10.192.9.30	SDESCRMPN1C1FFC2	CR_CORE		SI	
46	10.192.9.100	SDESCRMPN1C1YIC1	CR_CORE	cisco_xr	SI	
47	10.192.9.101	SDESCRMPN1C1YIC2	CR_CORE	cisco_xr	SI	
